flight_1_from,flight_1_to,Flight_1_time,flight_1_price,flight_2_from,flight_2_to,Flight_2_time,flight_2_price
AUC,PEI,18:31:32,1219.91,PEI,CTG,15:49:28,875.78
AUC,CUC,14:26:02,509.97,CLO,CTG,18:09:29,550.94
BOG,LET,12:53:01,900.00,PEI,UIB,19:59:38,1004.91
CUC,MTR,18:14:47,1047.60,MTR,BGA,11:09:25,1081.62
LET,CLO,22:41:35,1095.66,MDE,ADZ,18:51:26,463.92
MDE,LET,10:07:40,748.23,EJA,BAQ,15:49:21,1013.08
SMR,EJA,07:43:58,525.28,SMR,UIB,21:18:39,1271.55
AUC,MTR,16:44:29,830.08,AUC,SMR,19:46:39,853.25
LET,EJA,03:02:16,345.04,LET,SMR,13:29:38,1096.34
AUC,MTR,01:47:35,346.73,ADZ,CUC,05:37:29,1391.60
UIB,CTG,23:16:55,382.98,LET,CLO,23:04:25,1325.70
MTR,MDE,01:05:46,1285.99,CTG,ADZ,10:49:06,342.84
CUC,AUC,04:25:37,622.45,CLO,PEI,10:03:48,1000.69
ADZ,AUC,15:19:29,1478.24,CLO,MDE,02:43:36,757.59
EJA,CLO,18:07:02,927.31,AUC,UIB,05:44:50,1289.78
EJA,CTG,11:55:51,951.40,BGA,BAQ,17:31:09,658.61
MTR,AUC,17:17:28,1137.99,CLO,CUC,11:36:14,1197.19
MTR,EJA,03:36:49,717.94,SMR,CLO,16:27:09,576.86
ADZ,BOG,06:02:50,1018.95,AUC,BOG,19:02:00,982.37
MTR,PEI,03:24:53,353.74,MDE,UIB,21:06:29,891.79
AUC,MTR,13:07:31,1156.96,UIB,CUC,05:36:48,666.59
BOG,CUC,21:35:15,989.38,BGA,AUC,04:24:29,766.74
BAQ,CLO,00:26:04,1295.98,SMR,EJA,15:56:57,738.18
SMR,MTR,01:05:56,954.37,CTG,CLO,04:46:33,333.54
CUC,CLO,18:26:38,630.50,CLO,AUC,21:51:55,802.97
LET,LET,07:05:35,566.04,SMR,CUC,23:06:33,987.59
LET,SMR,14:20:58,846.27,CTG,BGA,06:22:31,876.65
EJA,PEI,14:36:04,887.30,BOG,BAQ,12:28:25,307.61
CUC,SMR,01:14:12,311.59,CUC,EJA,19:54:50,1490.67
UIB,BAQ,00:35:22,999.85,BGA,CTG,01:59:56,926.74
CUC,CLO,07:47:03,935.72,BGA,LET,20:02:56,1181.86
BOG,MTR,09:01:40,1021.20,MTR,SMR,03:16:26,542.70
CLO,BOG,00:16:00,1255.46,LET,ADZ,01:42:40,1393.24
CLO,ADZ,05:52:48,1303.99,SMR,UIB,08:43:19,1359.90
AUC,MTR,11:03:27,980.18,MTR,MTR,06:44:05,1349.20
BOG,SMR,12:46:27,322.97,MDE,MDE,16:26:12,1442.36
BAQ,ADZ,12:09:28,1301.03,UIB,BGA,07:37:44,1490.63
EJA,SMR,19:38:41,494.47,CLO,EJA,12:28:04,449.62
SMR,BOG,09:57:49,701.55,PEI,BGA,11:29:32,1228.57
CTG,EJA,00:21:28,370.37,EJA,ADZ,13:36:56,980.34
CUC,BAQ,10:59:30,379.92,BOG,LET,15:01:25,626.94
EJA,AUC,08:53:36,1096.33,CUC,ADZ,11:23:28,700.78
SMR,BAQ,02:28:37,1426.39,AUC,LET,03:20:00,1427.15
BAQ,CUC,02:59:26,514.12,BOG,LET,16:08:01,896.90
CLO,ADZ,01:15:47,588.24,CLO,SMR,03:06:18,749.38
MDE,PEI,01:30:57,644.48,LET,LET,23:59:09,791.42
LET,LET,01:07:26,866.04,ADZ,MTR,19:51:22,549.06
SMR,ADZ,10:21:26,1026.19,CLO,CTG,08:12:42,809.12
CLO,MDE,19:33:10,1152.47,MTR,UIB,05:04:28,397.75
BOG,ADZ,23:44:10,1045.85,BOG,UIB,11:44:42,1147.80
MDE,BOG,14:50:08,1365.34,CTG,CUC,03:41:40,626.81
PEI,BAQ,07:13:00,1025.95,BGA,PEI,08:44:17,758.43
MTR,CTG,20:27:42,553.24,BAQ,CUC,23:50:11,445.80
MDE,BOG,17:35:48,1125.01,BAQ,SMR,21:11:59,329.68
PEI,BGA,21:25:25,1255.31,LET,LET,04:52:05,558.13
LET,LET,08:08:18,1193.05,CTG,SMR,07:18:10,825.05
SMR,AUC,12:02:52,1083.78,CUC,UIB,19:37:33,1033.59
UIB,UIB,22:09:50,526.13,UIB,BGA,12:33:26,546.64
MDE,CTG,22:57:36,935.09,UIB,CLO,12:26:31,836.92
AUC,CTG,10:45:47,582.07,ADZ,EJA,21:25:16,619.67
EJA,MDE,05:18:51,1047.13,LET,CUC,23:26:25,1213.84
CUC,AUC,01:49:32,880.92,EJA,BOG,16:30:43,391.75
PEI,LET,19:59:50,1448.47,MTR,BAQ,06:04:03,1134.99
BGA,CLO,14:47:49,819.58,MDE,UIB,02:36:34,828.36
BGA,MDE,08:03:54,1249.59,CTG,AUC,19:10:16,387.66
BGA,MDE,07:07:34,1292.82,EJA,BOG,12:32:03,767.92
CTG,AUC,09:01:41,912.48,AUC,MDE,02:14:43,791.78
PEI,BOG,08:40:14,1081.13,PEI,BGA,08:13:39,1489.75
BAQ,MDE,09:32:41,543.74,MTR,CTG,08:09:26,1440.50
PEI,CTG,02:04:02,981.94,CTG,EJA,21:15:51,440.25
BGA,AUC,20:37:31,624.61,EJA,CTG,02:36:51,1178.77
EJA,CLO,15:46:08,1028.25,SMR,EJA,19:53:13,519.02
BGA,CTG,04:38:29,532.31,LET,ADZ,18:50:16,763.55
ADZ,CTG,11:19:11,851.03,BOG,LET,10:41:05,455.32
ADZ,BOG,23:35:42,446.56,CTG,CLO,01:32:13,1287.71
EJA,EJA,14:18:23,1088.86,CUC,CLO,08:36:04,679.96
MDE,CLO,14:34:32,1039.60,CLO,BAQ,05:40:53,1221.23
BAQ,CUC,16:08:36,893.11,MTR,LET,21:39:20,401.94
LET,EJA,19:46:23,741.23,SMR,CTG,15:00:00,750.96
EJA,BOG,11:38:07,444.65,BAQ,PEI,21:42:46,1018.62
BOG,AUC,09:53:49,356.48,MDE,ADZ,16:53:00,1134.22
CLO,LET,10:10:03,507.69,BGA,AUC,15:33:09,806.03
MDE,CLO,09:31:59,1447.18,EJA,EJA,16:20:43,1449.71
EJA,SMR,00:18:03,1075.63,AUC,CUC,10:07:18,1105.97
EJA,BGA,09:38:56,444.56,SMR,EJA,00:25:16,710.66
SMR,ADZ,16:20:38,930.58,BAQ,MDE,20:15:47,961.00
CTG,CUC,17:09:01,421.49,BGA,BOG,13:58:13,949.06
LET,BAQ,06:22:16,1050.23,EJA,BOG,06:53:09,644.65
UIB,EJA,15:09:04,756.86,CUC,CUC,10:19:10,934.62
PEI,BOG,01:43:20,419.31,ADZ,ADZ,15:12:09,805.73
CTG,ADZ,07:17:04,1346.44,PEI,EJA,17:22:24,837.63
BGA,BGA,18:22:03,447.19,MTR,BGA,08:41:02,1477.53
BOG,CTG,03:19:39,547.11,MTR,CLO,01:41:21,427.82
SMR,CLO,19:42:52,585.45,BAQ,SMR,12:02:39,1388.43
SMR,MDE,20:27:35,762.39,BGA,SMR,06:27:56,1109.45
BAQ,CUC,15:08:44,516.49,CLO,MTR,10:29:18,904.01
CTG,LET,10:34:50,1013.27,MDE,PEI,17:37:33,1079.62
BOG,ADZ,07:12:37,1461.42,PEI,SMR,17:08:30,962.06
CLO,BAQ,07:27:03,376.09,AUC,BAQ,18:46:49,358.73
AUC,PEI,04:41:20,916.66,EJA,LET,06:01:14,573.72
BAQ,UIB,18:33:41,1058.88,MTR,ADZ,14:14:17,1321.76
BGA,UIB,11:36:32,1488.81,EJA,CTG,13:24:46,925.68
CTG,UIB,07:06:29,736.89,CLO,MTR,22:19:45,645.13
CTG,CUC,04:06:31,1378.07,BGA,ADZ,16:09:33,323.91
CUC,CUC,02:57:18,1358.18,BOG,UIB,01:23:55,670.10
ADZ,UIB,06:46:57,373.99,MTR,ADZ,15:32:51,932.12
BAQ,LET,13:18:09,615.60,CTG,ADZ,13:54:29,1323.01
EJA,CTG,16:09:55,687.21,CTG,EJA,20:38:17,1003.28
BGA,ADZ,07:16:04,886.14,BOG,CLO,08:41:49,793.17
MDE,LET,10:10:31,516.12,AUC,BOG,17:12:07,1397.24
SMR,CUC,14:25:37,1351.03,MTR,CLO,16:41:25,1292.61
LET,MDE,02:28:02,557.24,CUC,BAQ,11:57:46,1436.54
EJA,CUC,16:40:01,713.92,SMR,ADZ,17:55:16,1354.57
AUC,MDE,22:44:32,1071.28,CUC,CLO,14:20:51,1190.86
CLO,AUC,05:35:18,1373.49,ADZ,BGA,02:45:38,1459.70
AUC,CTG,05:27:19,1172.20,CLO,UIB,11:10:35,313.46
SMR,CTG,15:59:41,1029.77,CTG,UIB,00:15:53,644.28
CLO,AUC,19:43:58,1465.86,MDE,SMR,10:12:29,1277.61
AUC,AUC,09:59:28,1352.16,EJA,CTG,03:29:05,635.37
AUC,EJA,23:54:05,852.52,UIB,ADZ,02:51:48,835.39
SMR,PEI,05:09:21,830.11,CLO,BAQ,12:44:39,990.24
BOG,SMR,12:26:50,774.35,LET,SMR,16:09:44,1159.53
SMR,CTG,13:52:23,1205.16,PEI,CTG,09:11:37,1100.12
PEI,MDE,23:29:59,1125.13,BAQ,SMR,12:10:57,829.48
CLO,LET,12:55:11,593.69,UIB,SMR,00:35:02,1156.79
BOG,BAQ,14:31:10,822.06,BOG,ADZ,16:22:40,340.90
CLO,PEI,12:36:46,817.73,LET,ADZ,16:36:31,1290.39
BOG,CLO,11:02:25,1406.44,MTR,PEI,23:38:51,1377.25
AUC,LET,13:18:16,802.20,LET,MDE,18:07:05,492.83
BAQ,CLO,03:16:00,401.04,CUC,CUC,13:24:13,1381.18
BOG,LET,05:05:01,1186.14,BAQ,MTR,19:52:17,1035.24
PEI,BOG,13:39:42,1127.88,EJA,BOG,01:11:00,1254.47
CUC,EJA,08:52:36,896.10,EJA,PEI,11:55:13,1394.51
